entropy,MI,std,spatial_freq,SSIM_mri,SSIM_partner,edge_preservation,method,pairing,pair
3.8619553224065246,3.7340619221850053,0.23667186498641968,0.06594441831111908,0.8032657675621104,0.744863547628783,0.4171900749206543,averaging,mri_ct,carcinoma_mri_ct_010.png
3.9753997823588745,3.7047461602432454,0.23601911962032318,0.06566264480352402,0.8029809723279188,0.7452542944448078,0.4158366620540619,densefuse,mri_ct,carcinoma_mri_ct_010.png
4.289272779398386,3.4525006092646273,0.292111337184906,0.09261386096477509,0.7796784824111058,0.7898220232734536,0.4915420711040497,densefuse_norm,mri_ct,carcinoma_mri_ct_010.png
4.3615390476864375,2.7208478428851577,0.24392695724964142,0.10834209620952606,0.7877004366924513,0.706966712564743,0.4910065531730652,dwt,mri_ct,carcinoma_mri_ct_010.png
4.203856709602859,3.0348345727955666,0.33959510922431946,0.11891716718673706,0.8058348429983684,0.740276349410678,0.597785472869873,laplacian,mri_ct,carcinoma_mri_ct_010.png
3.805244080050355,3.7239404772319515,0.23678509891033173,0.06324831396341324,0.8112960211020644,0.7416655351154621,0.41029030084609985,averaging,mri_ct,carcinoma_mri_ct_011.png
3.9193418641236137,3.703422536863276,0.23614664375782013,0.06295333057641983,0.8111278664463614,0.7418777360891684,0.4089652895927429,densefuse,mri_ct,carcinoma_mri_ct_011.png
4.234904697324095,3.4435192713298526,0.2896044850349426,0.08671664446592331,0.7895359118420691,0.783481773120365,0.47299259901046753,densefuse_norm,mri_ct,carcinoma_mri_ct_011.png
4.306376949128494,2.7084788241791515,0.2440982311964035,0.10550745576620102,0.7947364348005949,0.7040300913182197,0.4850054681301117,dwt,mri_ct,carcinoma_mri_ct_011.png
4.159776436235651,3.0061124111114297,0.3369032144546509,0.11484440416097641,0.8153167824920861,0.7338213150469615,0.5844911336898804,laplacian,mri_ct,carcinoma_mri_ct_011.png
3.7416234388303007,3.686520445217576,0.2373892068862915,0.06288937479257584,0.8133115320189802,0.7489876769879118,0.41474470496177673,averaging,mri_ct,carcinoma_mri_ct_012.png
3.860298556670637,3.664316603873491,0.23676392436027527,0.06256098300218582,0.8131495500569649,0.7492192334785741,0.41344138979911804,densefuse,mri_ct,carcinoma_mri_ct_012.png
4.171219529771229,3.387276683003566,0.29252052307128906,0.08671161532402039,0.7886586314390738,0.7950346174823523,0.4694971442222595,densefuse_norm,mri_ct,carcinoma_mri_ct_012.png
4.249115163208371,2.663929397700149,0.2445010393857956,0.10445753484964371,0.7941321972666958,0.7106815815759632,0.4820030629634857,dwt,mri_ct,carcinoma_mri_ct_012.png
4.097438306771026,2.9800338430159874,0.33909091353416443,0.11369036138057709,0.8146213291919306,0.7435249739343666,0.5812016129493713,laplacian,mri_ct,carcinoma_mri_ct_012.png
3.675716351782694,3.690017931895416,0.23687441647052765,0.06340393424034119,0.8229917223437982,0.7719084807463048,0.431110680103302,averaging,mri_ct,carcinoma_mri_ct_013.png
3.7789044913461467,3.651255964803184,0.23624347150325775,0.06306364387273788,0.8228491528764849,0.7721023060113242,0.429922491312027,densefuse,mri_ct,carcinoma_mri_ct_013.png
4.083780121266152,3.386673537565409,0.294989675283432,0.08656338602304459,0.7950230212700999,0.8157286179474936,0.4748539328575134,densefuse_norm,mri_ct,carcinoma_mri_ct_013.png
4.1552701606869675,2.7002870351447097,0.2431832104921341,0.10167381912469864,0.8057170535648663,0.7349617067352154,0.4911719560623169,dwt,mri_ct,carcinoma_mri_ct_013.png
4.011709254875918,2.9805936917803195,0.339520663022995,0.11213798075914383,0.8169022937790437,0.7678828249665257,0.5843134522438049,laplacian,mri_ct,carcinoma_mri_ct_013.png
3.5589285352957054,3.544342133645543,0.2307504117488861,0.0617091991007328,0.8325639846425573,0.7953696818938821,0.44850605726242065,averaging,mri_ct,carcinoma_mri_ct_014.png
3.663671146972428,3.5143731755637773,0.23016126453876495,0.06145331263542175,0.832259544178862,0.7957560887565839,0.4470828175544739,densefuse,mri_ct,carcinoma_mri_ct_014.png
3.95759505875498,3.2687593394305603,0.2869006395339966,0.08532005548477173,0.7944756275911738,0.842861475577638,0.4832642376422882,densefuse_norm,mri_ct,carcinoma_mri_ct_014.png
4.009524703451687,2.6104642573225725,0.23659105598926544,0.09635432809591293,0.8139983560530644,0.7550810176407375,0.5023945569992065,dwt,mri_ct,carcinoma_mri_ct_014.png
